time,"(-3.0, 'away')","(-3.0, 'away_smooth')","(-3.0, 'draw')","(-3.0, 'draw_smooth')","(-3.0, 'home')","(-3.0, 'home_smooth')","(-3.0, 'tot_games')","(-2.0, 'away')","(-2.0, 'away_smooth')","(-2.0, 'draw')","(-2.0, 'draw_smooth')","(-2.0, 'home')","(-2.0, 'home_smooth')","(-2.0, 'tot_games')","(-1.0, 'away')","(-1.0, 'away_smooth')","(-1.0, 'draw')","(-1.0, 'draw_smooth')","(-1.0, 'home')","(-1.0, 'home_smooth')","(-1.0, 'tot_games')","(0.0, 'away')","(0.0, 'away_smooth')","(0.0, 'draw')","(0.0, 'draw_smooth')","(0.0, 'home')","(0.0, 'home_smooth')","(0.0, 'tot_games')","(1.0, 'away')","(1.0, 'away_smooth')","(1.0, 'draw')","(1.0, 'draw_smooth')","(1.0, 'home')","(1.0, 'home_smooth')","(1.0, 'tot_games')","(2.0, 'away')","(2.0, 'away_smooth')","(2.0, 'draw')","(2.0, 'draw_smooth')","(2.0, 'home')","(2.0, 'home_smooth')","(2.0, 'tot_games')","(3.0, 'away')","(3.0, 'away_smooth')","(3.0, 'draw')","(3.0, 'draw_smooth')","(3.0, 'home')","(3.0, 'home_smooth')","(3.0, 'tot_games')"
0,,,,,,,0.0,,,,,,,0.0,0.0,0.44517558052429806,0.0,0.15114279948053044,1.0,0.35303640025215477,2.0,0.303125,0.3034863104982495,0.1921875,0.19262358561248663,0.5046875,0.5038488571584917,4480.0,1.0,0.09554389607566048,0.0,0.15281841096018528,0.0,0.7446858971342042,1.0,,,,,,,0.0,,,,,,,0.0
1,,,,,,,0.0,,,,,,,0.0,0.5,0.450630437067432,0.25,0.15893057347763204,0.25,0.34357683032904407,28.0,0.30303030303030304,0.30399939383310387,0.19154228855721392,0.19269882026203294,0.505427408412483,0.5032662812911057,4422.0,0.15151515151515152,0.09770388113575655,0.21212121212121213,0.15357524776404224,0.6363636363636364,0.7426040959570777,33.0,,,,,,,0.0,,,,,,,0.0
2,,,,,,,0.0,,,,,,,0.0,0.5384615384615384,0.456111427646784,0.2,0.16666958043035357,0.26153846153846155,0.3341382790861438,65.0,0.303023309485345,0.30449204277382347,0.19270713131779368,0.19276655654626287,0.5042695591968613,0.5027114666116573,4333.0,0.12941176470588237,0.09987295908419816,0.15294117647058825,0.15430516834932614,0.7176470588235294,0.740498289324892,85.0,,,,,,,0.0,,,,,,,0.0
3,,,,,,,0.0,0.5,0.5030622247007833,0.5,0.3342121140898234,0.0,0.19975924919349694,2.0,0.48695652173913045,0.4616201348666895,0.16521739130434782,0.1743488824591369,0.34782608695652173,0.32472690683024247,115.0,0.3045949786830886,0.3049624964598457,0.19327333017527237,0.19282816372258987,0.502131691141639,0.5021847687702451,4222.0,0.11188811188811189,0.10205237071707898,0.17482517482517482,0.1550042604650095,0.7132867132867133,0.738365079140592,143.0,0.0,-0.0013288866179339133,0.0,0.27200875560188315,1.0,0.7511882907642087,1.0,,,,,,,0.0
4,,,,,,,0.0,0.5,0.5343526400130978,0.5,0.31360572941064596,0.0,0.18729349140854368,2.0,0.46987951807228917,0.46715736311024825,0.18072289156626506,0.1819583021417208,0.3493975903614458,0.31535136103301453,166.0,0.3051506316812439,0.30541123353580196,0.19412050534499514,0.19288570174257677,0.500728862973761,0.5016835855155296,4116.0,0.12435233160621761,0.10424318341638648,0.15025906735751296,0.1556723419839295,0.7253886010362695,0.7362006720776558,193.0,0.0,0.0018666152862706494,0.3333333333333333,0.25520407770946285,0.6666666666666666,0.7623387950522373,6.0,,,,,,,0.0
5,,,,,,,0.0,0.5714285714285714,0.5656138922591126,0.2857142857142857,0.2930114749725321,0.14285714285714285,0.1749067285567884,7.0,0.47641509433962265,0.4727200787565594,0.19339622641509435,0.18950402795411317,0.330188679245283,0.306024070996602,212.0,0.30680680680680683,0.30584085665124844,0.19369369369369369,0.192941046030541,0.4994994994994995,0.5012033254298891,3996.0,0.10687022900763359,0.10644577286802424,0.16030534351145037,0.15631378961334944,0.732824427480916,0.7340028173226748,262.0,0.0,0.005034574569831283,0.3333333333333333,0.23839071545292184,0.6666666666666666,0.7734668093018102,6.0,,,,,,,0.0
6,,,,,,,0.0,0.5714285714285714,0.596852162627121,0.2857142857142857,0.27244136212887216,0.14285714285714285,0.1626088875080172,7.0,0.4691358024691358,0.4782898045334103,0.2139917695473251,0.19700009208740635,0.3168724279835391,0.2967633404321742,243.0,0.308301404853129,0.3062568115585199,0.19310344827586207,0.1929948563961999,0.4985951468710089,0.5007377266751037,3915.0,0.10967741935483871,0.10865810560826474,0.15806451612903225,0.1569436699429265,0.7322580645161291,0.7317781370347337,310.0,0.0,0.008163170372340047,0.25,0.22156630525679322,0.75,0.7845671546171358,8.0,,,,,,,0.0
7,1.0,0.6463797194825168,0.0,0.3340672809373031,0.0,0.0,1.0,0.625,0.6280563266840387,0.25,0.25192089953681457,0.125,0.1504104366013007,8.0,0.48175182481751827,0.48383132170613474,0.22992700729927007,0.20445212652461628,0.28832116788321166,0.2875967120949442,274.0,0.3087160751565762,0.30666835149138716,0.1923277661795407,0.1930460063540755,0.4989561586638831,0.5002783079588023,3832.0,0.10674157303370786,0.1108710726886389,0.1601123595505618,0.15757649579576066,0.7331460674157303,0.7295415781301072,356.0,0.0,0.01124264066927108,0.16666666666666666,0.20472780570442134,0.8333333333333334,0.7956330577878439,12.0,,,,,,,0.0
8,1.0,0.6490135350661933,0.0,0.33402096074559784,0.0,0.0,1.0,0.6666666666666666,0.6592030293998468,0.2222222222222222,0.2314494885016269,0.1111111111111111,0.13832170062908142,9.0,0.4883720930232558,0.48931967142284705,0.22591362126245848,0.2118659225642844,0.2857142857142857,0.2785634799893556,301.0,0.30958757364756295,0.3070885971282664,0.19282271023031602,0.19308929953245768,0.49758971612212105,0.4998165439889447,3734.0,0.11374407582938388,0.11306712686824953,0.16113744075829384,0.15822389858280494,0.7251184834123223,0.727307427401543,422.0,0.0625,0.014264948837513282,0.1875,0.1878715669281272,0.75,0.8066555877430877,16.0,,,,,,,0.0
9,1.0,0.6519239248389346,0.0,0.33396002284836906,0.0,0.0,1.0,0.6153846153846154,0.6902433656016489,0.23076923076923078,0.2110210506887385,0.15384615384615385,0.1263515647963669,13.0,0.5205882352941177,0.49474562145771606,0.22058823529411764,0.2192702029598772,0.25882352941176473,0.2696934617000181,340.0,0.3075865860362837,0.3074955707343276,0.1937877954920286,0.19309475425937717,0.49862561847168774,0.49940442854572625,3638.0,0.11228813559322035,0.11523032038216775,0.15677966101694915,0.15887779915433342,0.7309322033898306,0.7250774862568544,472.0,0.05263157894736842,0.017230020977818276,0.21052631578947367,0.1709953068394796,0.7368421052631579,0.8176229517890827,19.0,,,,,,,0.0
